# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
jpc-onenote.officeapps.live.com / referral,04,3,3,1,101.66666666666667,0.6666666666666666,41,2,0.3333333333333333
jsug.smartseminar.jp / referral,04,3,0,2,221,0.5,32,5,0.5
kinenbi.gr.jp / referral,04,3,3,1,48,1,30,5,0.3333333333333333
kk-matsui.transprint.spa-cloud.com / referral,04,3,2,2,6,0.3333333333333333,12,0,0
kose.transprint.spa-cloud.com / referral,04,3,3,1,7.333333333333333,0.3333333333333333,14,0,0
liskul.com / referral,04,3,3,0,31.666666666666668,1,18,0,0
login.zscaler.net / referral,04,3,3,1,36.666666666666664,0.6666666666666666,13,0,0
m.mail.yahoo.co.jp / referral,04,3,3,0,9,0.6666666666666666,23,0,0
maftec.transprint.spa-cloud.com / referral,04,3,2,1,3,0,11,0,0
mail.nifty.com / referral,04,3,2,1,51,1,28,0,0
matabee.com / referral,04,3,3,0,1.6666666666666667,0.3333333333333333,11,0,0
nihonkasei.transprint.spa-cloud.com / referral,04,3,2,1,1.3333333333333333,0,10,0,0
nohara3.transprint.spa-cloud.com / referral,04,3,3,2,18.333333333333332,0.6666666666666666,22,2,0.3333333333333333
nos.transprint.spa-cloud.com / referral,04,3,3,0,2,0,11,0,0
one.nec.com / referral,04,3,0,3,115.33333333333333,1,21,0,0
outside2.soft.hitachi.co.jp / referral,04,3,3,1,278,0.6666666666666666,58,2,0.3333333333333333
quickdrama.top / referral,04,3,0,3,30.333333333333332,2.6666666666666665,39,0,0
rakuten-sec.co.jp / referral,04,3,3,0,57.666666666666664,0.6666666666666666,23,0,0
recommendsaas.jp / referral,04,3,3,0,93.66666666666667,1,30,0,0
saison-technology.com / referral,04,3,2,1,51,0.3333333333333333,11,0,0
seednx-neo.sfc.co.jp / referral,04,3,3,2,199.66666666666666,1.6666666666666667,88,1,0.3333333333333333
shigotoarimasu.com / referral,04,3,3,0,14.666666666666666,0.3333333333333333,20,2,0.3333333333333333
shinkobolt.transprint.spa-cloud.com / referral,04,3,2,2,9.333333333333334,0.6666666666666666,16,0,0
shizutetsu.cybozu.com / referral,04,3,0,3,91,1.3333333333333333,33,0,0
site4.sbisec.co.jp / referral,04,3,3,0,51.666666666666664,1,29,0,0
spool.cybozu.com / referral,04,3,2,3,53,2,63,0,0
takakita.transprint.spa-cloud.com / referral,04,3,2,1,5,0,11,0,0
takasago.sharepoint.com / referral,04,3,3,2,15,1,26,0,0
